customer_id,customer_name,snapshot_date,age,tenure_months,customer_segment,income_regularity,customer_yearly_value,loyalty,products_count,has_credit_card,has_loan,days_since_last_transaction,balance_change_30d,transaction_change_30d,card_spend_change_30d,app_login_change_30d,salary_missing_days,external_transfer_change_30d,upi_share_of_spend,fd_maturing_in_30d,products_dropped_90d,complaints_30d,unresolved_complaints,failed_transactions_30d,avg_resolution_time_hrs,emi_bounce_30d,complaint_text,branch_code,card_colour,churn_flag,churn_probability,risk_score,churn_prediction,risk_level,top_risk_factors
C10010,Lajita Chatterjee,2026-02-01,30,144,farmer,seasonal,51809.3305,0.8462,2,0,1,12,-25.3014,-19.806,-41.201,-12.3979,,10.8412,0.3235,0,0,6,5,2,143.1898,0,KYC update took four visits. Every time a new document was demanded.,BR-111,green,1,45.95,79.73,Yes,High,"[{""factor"": ""avg_resolution_time_hrs"", ""value"": 143.1898}, {""factor"": ""card_spend_change_30d"", ""value"": -41.201}, {""factor"": ""complaints_30d"", ""value"": 6}, {""factor"": ""balance_change_30d"", ""value"": -25.3014}, {""factor"": ""unresolved_complaints"", ""value"": 5}]"
C10011,Hemangini Lalla,2026-05-01,38,3,salary,regular,20824.1445,-0.1406,3,0,0,5,-18.5157,-16.9798,17.0376,-29.4072,1.0,21.5638,0.4784,0,0,3,1,0,33.533,0,Cheque return charge levied though the cheque was returned by their side.,BR-121,black,1,7.29,21.86,No,Low,"[{""factor"": ""complaints_30d"", ""value"": 3}, {""factor"": ""tenure_months"", ""value"": 3}, {""factor"": ""unresolved_complaints"", ""value"": 1}, {""factor"": ""branch_code"", ""value"": ""BR-121""}, {""factor"": ""external_transfer_change_30d"", ""value"": 21.5638}]"
C10012,Tripti Yadav,2026-06-01,26,1,salary,regular,68877.9463,0.1151,1,0,0,8,-12.8473,16.991,-32.9407,0.7969,0.0,7.0077,0.3411,0,0,0,0,0,0.0,0,,BR-105,silver,0,3.74,11.21,No,Low,"[{""factor"": ""card_spend_change_30d"", ""value"": -32.9407}, {""factor"": ""tenure_months"", ""value"": 1}, {""factor"": ""age"", ""value"": 26}, {""factor"": ""branch_code"", ""value"": ""BR-105""}, {""factor"": ""external_transfer_change_30d"", ""value"": 7.0077}]"
C10013,Kritika Brar,2026-06-01,55,99,business,irregular,102897.5855,-0.6851,2,0,1,0,15.5568,13.7981,-34.7558,8.5344,,-11.4579,0.2318,0,0,0,0,1,0.0,0,,BR-140,black,0,2.25,6.74,No,Low,"[{""factor"": ""card_spend_change_30d"", ""value"": -34.7558}, {""factor"": ""branch_code"", ""value"": ""BR-140""}, {""factor"": ""upi_share_of_spend"", ""value"": 0.2318}, {""factor"": ""app_login_change_30d"", ""value"": 8.5344}, {""factor"": ""income_regularity"", ""value"": ""irregular""}]"
C10014,Janaki Handa,2026-06-01,68,113,pension,regular,15918.4033,-1.0547,3,1,0,12,3.8328,2.9175,-6.4618,-2.5269,1.0,-29.1491,0.8088,0,0,0,0,0,0.0,0,,BR-130,black,0,1.65,4.96,No,Low,"[{""factor"": ""age"", ""value"": 68}, {""factor"": ""customer_segment"", ""value"": ""pension""}, {""factor"": ""card_colour"", ""value"": ""black""}, {""factor"": ""has_loan"", ""value"": 0}, {""factor"": ""income_regularity"", ""value"": ""regular""}]"
C10015,Chakradev Kari,2026-05-01,26,61,salary,regular,31007.6047,0.2803,3,0,1,19,-35.2398,-33.6527,-33.7459,-37.2348,4.0,44.4991,0.7596,0,0,0,0,1,0.0,0,,BR-135,green,1,20.69,70.26,Yes,High,"[{""factor"": ""balance_change_30d"", ""value"": -35.2398}, {""factor"": ""days_since_last_transaction"", ""value"": 19}, {""factor"": ""card_spend_change_30d"", ""value"": -33.7459}, {""factor"": ""salary_missing_days"", ""value"": 4.0}, {""factor"": ""tenure_months"", ""value"": 61}]"
C10016,Fariq Kaul,2026-06-01,30,69,business,irregular,58501.732,-0.352,3,1,0,33,-72.8659,-73.984,-66.8277,-64.4779,,131.6964,0.6504,0,3,0,0,3,0.0,0,,BR-109,gold,1,95.65,98.37,Yes,High,"[{""factor"": ""balance_change_30d"", ""value"": -72.8659}, {""factor"": ""days_since_last_transaction"", ""value"": 33}, {""factor"": ""card_spend_change_30d"", ""value"": -66.8277}, {""factor"": ""transaction_change_30d"", ""value"": -73.984}, {""factor"": ""failed_transactions_30d"", ""value"": 3}]"
C10017,Lajita Mall,2026-06-01,44,89,salary,regular,40964.2704,-1.4874,3,1,1,2,53.1929,38.9711,32.3635,9.3925,0.0,-38.6083,0.4304,0,0,1,0,0,20.4034,0,My EMI is debited on 5th but salary comes on 7th. Please shift the date.,BR-131,green,0,1.93,5.8,No,Low,"[{""factor"": ""app_login_change_30d"", ""value"": 9.3925}, {""factor"": ""branch_code"", ""value"": ""BR-131""}, {""factor"": ""customer_segment"", ""value"": ""salary""}, {""factor"": ""income_regularity"", ""value"": ""regular""}, {""factor"": ""has_credit_card"", ""value"": 1}]"
C10018,Janya Gaba,2026-05-01,41,215,farmer,seasonal,5588.9917,1.121,4,1,1,6,-11.0293,25.4099,8.4787,20.9094,,-9.0426,0.3268,1,0,3,3,4,109.995,1,"Cash withdrawal failed twice, amount debited, receipt not printed.",BR-127,green,1,36.3,76.11,Yes,High,"[{""factor"": ""avg_resolution_time_hrs"", ""value"": 109.995}, {""factor"": ""failed_transactions_30d"", ""value"": 4}, {""factor"": ""fd_maturing_in_30d"", ""value"": 1}, {""factor"": ""complaints_30d"", ""value"": 3}, {""factor"": ""unresolved_complaints"", ""value"": 3}]"
C10019,Isha Kadakia,2026-02-01,62,186,pension,regular,38246.9253,0.4857,1,0,0,0,-19.1579,13.7627,34.4354,32.092,0.0,-16.467,0.5731,0,0,0,0,0,0.0,0,,BR-129,blue,1,1.96,5.87,No,Low,"[{""factor"": ""branch_code"", ""value"": ""BR-129""}, {""factor"": ""app_login_change_30d"", ""value"": 32.092}, {""factor"": ""age"", ""value"": 62}, {""factor"": ""products_count"", ""value"": 1}, {""factor"": ""card_colour"", ""value"": ""blue""}]"
C10020,Ekbal Garg,2026-06-01,44,129,salary,regular,49712.0087,0.8132,3,1,1,0,15.5916,46.2372,32.2149,35.1325,0.0,-19.1103,0.2554,0,0,0,0,0,0.0,0,,BR-121,gold,0,1.93,5.8,No,Low,"[{""factor"": ""branch_code"", ""value"": ""BR-121""}, {""factor"": ""app_login_change_30d"", ""value"": 35.1325}, {""factor"": ""upi_share_of_spend"", ""value"": 0.2554}, {""factor"": ""customer_segment"", ""value"": ""salary""}, {""factor"": ""income_regularity"", ""value"": ""regular""}]"
C10021,Nihal Shere,2026-06-01,68,67,pension,regular,53923.8116,1.2962,1,0,0,7,-9.9794,-23.4729,-5.6796,5.694,1.0,0.459,0.2249,0,0,1,0,4,19.1837,0,"Kindly enable UPI on my account, it has been disabled without notice.",BR-127,black,0,2.39,7.18,No,Low,"[{""factor"": ""failed_transactions_30d"", ""value"": 4}, {""factor"": ""branch_code"", ""value"": ""BR-127""}, {""factor"": ""age"", ""value"": 68}, {""factor"": ""upi_share_of_spend"", ""value"": 0.2249}, {""factor"": ""customer_segment"", ""value"": ""pension""}]"
C10022,Anamika Kanda,2026-06-01,39,50,vendor,irregular,17266.309,-0.6653,2,0,1,0,5.4882,-9.887,19.5195,3.0531,,9.0518,0.7789,1,0,0,0,0,0.0,0,,BR-103,silver,0,1.96,5.87,No,Low,"[{""factor"": ""fd_maturing_in_30d"", ""value"": 1}, {""factor"": ""tenure_months"", ""value"": 50}, {""factor"": ""external_transfer_change_30d"", ""value"": 9.0518}, {""factor"": ""branch_code"", ""value"": ""BR-103""}, {""factor"": ""customer_segment"", ""value"": ""vendor""}]"
C10023,Daksh Karnik,2026-06-01,36,1,vendor,irregular,5425.03,0.7783,3,0,1,3,25.8454,13.4421,-11.2365,35.2972,,-12.555,0.4239,0,0,0,0,1,0.0,0,,BR-130,blue,0,1.96,5.87,No,Low,"[{""factor"": ""tenure_months"", ""value"": 1}, {""factor"": ""app_login_change_30d"", ""value"": 35.2972}, {""factor"": ""customer_segment"", ""value"": ""vendor""}, {""factor"": ""card_colour"", ""value"": ""blue""}, {""factor"": ""income_regularity"", ""value"": ""irregular""}]"
C10024,Diya Rattan,2026-06-01,41,70,salary,regular,73708.5138,-0.607,4,1,0,13,3.9464,-27.2789,-6.9329,-20.3037,3.0,43.2147,0.4626,0,0,0,0,3,0.0,0,,BR-135,gold,0,1.96,5.87,No,Low,"[{""factor"": ""failed_transactions_30d"", ""value"": 3}, {""factor"": ""salary_missing_days"", ""value"": 3.0}, {""factor"": ""days_since_last_transaction"", ""value"": 13}, {""factor"": ""external_transfer_change_30d"", ""value"": 43.2147}, {""factor"": ""customer_segment"", ""value"": ""salary""}]"
C10025,Dominic Kakar,2026-06-01,41,210,farmer,seasonal,9493.0966,1.8672,2,0,1,11,-11.3893,5.3282,-4.8194,7.4222,,18.0394,0.2728,0,0,2,0,3,39.8314,0,Sent money to wrong UPI id due to app lag. Need help urgently.,BR-107,black,0,2.39,7.18,No,Low,"[{""factor"": ""failed_transactions_30d"", ""value"": 3}, {""factor"": ""complaints_30d"", ""value"": 2}, {""factor"": ""branch_code"", ""value"": ""BR-107""}, {""factor"": ""card_colour"", ""value"": ""black""}, {""factor"": ""external_transfer_change_30d"", ""value"": 18.0394}]"
C10026,Simon Tata,2026-02-01,36,101,salary,regular,33977.7926,1.6508,2,0,0,8,15.453,12.4535,3.4265,22.0597,0.0,-18.6989,0.0,1,0,2,2,6,105.1149,0,Fee reversal promised by the branch manager never actually happened.,BR-116,blue,1,25.0,71.88,Yes,High,"[{""factor"": ""avg_resolution_time_hrs"", ""value"": 105.1149}, {""factor"": ""failed_transactions_30d"", ""value"": 6}, {""factor"": ""fd_maturing_in_30d"", ""value"": 1}, {""factor"": ""complaints_30d"", ""value"": 2}, {""factor"": ""unresolved_complaints"", ""value"": 2}]"
C10027,Tara Dhar,2026-06-01,56,125,farmer,seasonal,31241.2368,-0.4214,1,0,0,16,-4.6625,9.6772,-21.2172,-0.7168,,41.8741,0.6916,0,0,0,0,1,0.0,0,,BR-122,silver,0,2.39,7.18,No,Low,"[{""factor"": ""branch_code"", ""value"": ""BR-122""}, {""factor"": ""days_since_last_transaction"", ""value"": 16}, {""factor"": ""card_spend_change_30d"", ""value"": -21.2172}, {""factor"": ""external_transfer_change_30d"", ""value"": 41.8741}, {""factor"": ""products_count"", ""value"": 1}]"
C10028,Liam Koshy,2026-06-01,46,259,farmer,seasonal,11145.9093,-1.5592,3,1,0,7,-11.0559,23.9059,3.117,-23.443,,30.5927,0.4709,0,0,0,0,1,0.0,0,,BR-133,green,0,1.93,5.8,No,Low,"[{""factor"": ""branch_code"", ""value"": ""BR-133""}, {""factor"": ""external_transfer_change_30d"", ""value"": 30.5927}, {""factor"": ""has_loan"", ""value"": 0}, {""factor"": ""has_credit_card"", ""value"": 1}]"
C10029,Priya Rastogi,2026-06-01,25,21,vendor,irregular,10752.8009,-0.2976,2,1,0,10,5.7589,13.2669,-0.4275,4.7131,,7.9637,0.8231,0,0,0,0,1,0.0,0,,BR-139,blue,0,1.96,5.87,No,Low,"[{""factor"": ""tenure_months"", ""value"": 21}, {""factor"": ""age"", ""value"": 25}, {""factor"": ""external_transfer_change_30d"", ""value"": 7.9637}, {""factor"": ""branch_code"", ""value"": ""BR-139""}, {""factor"": ""customer_segment"", ""value"": ""vendor""}]"
C10030,Theodore Devi,2026-06-01,47,121,salary,regular,38776.4931,0.0408,3,1,0,8,-14.2465,-16.0307,3.5938,-8.5041,0.0,46.3658,0.6396,0,0,0,0,1,0.0,0,,BR-120,blue,0,1.96,5.87,No,Low,"[{""factor"": ""card_colour"", ""value"": ""blue""}, {""factor"": ""external_transfer_change_30d"", ""value"": 46.3658}, {""factor"": ""upi_share_of_spend"", ""value"": 0.6396}, {""factor"": ""customer_segment"", ""value"": ""salary""}, {""factor"": ""income_regularity"", ""value"": ""regular""}]"
C10031,Gavin Batta,2026-02-01,60,286,farmer,seasonal,12046.4961,1.2329,1,0,0,28,-71.1584,-44.1084,-57.2953,-66.7035,,88.1256,0.985,0,0,1,1,3,45.4403,0,Loan closed last month. Customer has not started any new relationship.,BR-107,blue,1,53.49,82.56,Yes,High,"[{""factor"": ""balance_change_30d"", ""value"": -71.1584}, {""factor"": ""days_since_last_transaction"", ""value"": 28}, {""factor"": ""card_spend_change_30d"", ""value"": -57.2953}, {""factor"": ""failed_transactions_30d"", ""value"": 3}, {""factor"": ""unresolved_complaints"", ""value"": 1}]"
C10032,Michael Dutta,2026-06-01,41,1,salary,regular,36771.1009,-1.0008,1,0,0,6,-0.829,-4.0921,2.3376,9.897,0.0,15.4506,0.4247,0,0,0,0,1,0.0,0,,BR-101,gold,0,1.96,5.87,No,Low,"[{""factor"": ""tenure_months"", ""value"": 1}, {""factor"": ""branch_code"", ""value"": ""BR-101""}, {""factor"": ""external_transfer_change_30d"", ""value"": 15.4506}, {""factor"": ""app_login_change_30d"", ""value"": 9.897}, {""factor"": ""products_count"", ""value"": 1}]"
C10033,Devansh Rajan,2026-06-01,61,212,farmer,seasonal,29419.4013,0.4765,1,0,0,14,11.4129,-0.0006,24.4418,16.9777,,-15.8305,0.2672,0,0,2,0,2,3.6533,0,"Requesting your kind help, my card is not accepted at ration shop.",BR-118,black,0,1.96,5.87,No,Low,"[{""factor"": ""complaints_30d"", ""value"": 2}, {""factor"": ""app_login_change_30d"", ""value"": 16.9777}, {""factor"": ""failed_transactions_30d"", ""value"": 2}, {""factor"": ""days_since_last_transaction"", ""value"": 14}, {""factor"": ""card_colour"", ""value"": ""black""}]"
C10034,Upadhriti Wadhwa,2026-06-01,34,72,vendor,irregular,12987.3741,0.0384,2,0,0,0,30.7974,39.7043,13.1224,4.9486,,-39.421,0.2205,1,0,0,0,0,0.0,0,,BR-126,silver,0,1.16,3.49,No,Low,"[{""factor"": ""fd_maturing_in_30d"", ""value"": 1}, {""factor"": ""customer_segment"", ""value"": ""vendor""}, {""factor"": ""upi_share_of_spend"", ""value"": 0.2205}, {""factor"": ""income_regularity"", ""value"": ""irregular""}]"
C10035,Advay Contractor,2026-06-01,33,180,farmer,seasonal,20495.16,-0.0938,4,0,1,0,39.9697,53.7839,39.9854,54.0577,,-22.7462,0.4884,0,0,0,0,1,0.0,0,,BR-134,black,0,1.96,5.87,No,Low,"[{""factor"": ""branch_code"", ""value"": ""BR-134""}, {""factor"": ""app_login_change_30d"", ""value"": 54.0577}]"
C10036,Harini Choudhury,2026-06-01,48,86,salary,regular,39074.3059,0.4864,2,0,1,0,50.9032,72.7492,52.3747,51.4259,0.0,-84.8726,0.0052,0,0,2,0,1,35.7538,0,Nomination update charge? Such a basic service should be free.,BR-110,silver,0,1.96,5.87,No,Low,"[{""factor"": ""complaints_30d"", ""value"": 2}, {""factor"": ""app_login_change_30d"", ""value"": 51.4259}, {""factor"": ""upi_share_of_spend"", ""value"": 0.0052}, {""factor"": ""customer_segment"", ""value"": ""salary""}, {""factor"": ""income_regularity"", ""value"": ""regular""}]"
C10037,Radhika Dugar,2026-06-01,37,64,vendor,irregular,30105.0266,-0.2455,2,0,0,11,-5.8538,-14.982,-16.0961,-16.8067,,43.7867,0.2779,0,0,0,0,0,0.0,0,,BR-127,green,0,1.96,5.87,No,Low,"[{""factor"": ""branch_code"", ""value"": ""BR-127""}, {""factor"": ""customer_segment"", ""value"": ""vendor""}, {""factor"": ""external_transfer_change_30d"", ""value"": 43.7867}, {""factor"": ""has_loan"", ""value"": 0}, {""factor"": ""income_regularity"", ""value"": ""irregular""}]"
C10038,Aarush Lall,2026-06-01,50,238,farmer,seasonal,25300.9887,-0.0178,3,0,1,4,28.1711,4.7477,15.4905,-10.066,,18.415,0.6308,0,0,2,0,2,29.9143,0,PIN change nahi ho raha hai ATM par. Error message aata hai har baar.,BR-110,black,0,1.93,5.8,No,Low,"[{""factor"": ""complaints_30d"", ""value"": 2}, {""factor"": ""failed_transactions_30d"", ""value"": 2}, {""factor"": ""card_colour"", ""value"": ""black""}, {""factor"": ""external_transfer_change_30d"", ""value"": 18.415}, {""factor"": ""upi_share_of_spend"", ""value"": 0.6308}]"
C10039,Yashica Cherian,2026-06-01,45,83,salary,regular,16234.2161,0.4683,2,1,0,4,7.3964,8.4657,-1.331,10.8711,3.0,32.3649,0.6926,0,0,1,0,2,9.8259,0,App update ke baad UPI kaam hi nahi kar raha. Purana version chahiye.,BR-123,silver,0,1.96,5.87,No,Low,"[{""factor"": ""salary_missing_days"", ""value"": 3.0}, {""factor"": ""failed_transactions_30d"", ""value"": 2}, {""factor"": ""app_login_change_30d"", ""value"": 10.8711}, {""factor"": ""customer_segment"", ""value"": ""salary""}, {""factor"": ""external_transfer_change_30d"", ""value"": 32.3649}]"
C10040,Yashica Issac,2026-06-01,35,142,salary,regular,29002.5115,1.1861,2,0,1,16,3.4112,-18.4058,-10.453,-28.2535,2.0,14.2811,0.2819,0,0,2,0,0,10.1921,0,Locker request pending since January with no update from the branch.,BR-103,silver,0,2.39,7.18,No,Low,"[{""factor"": ""complaints_30d"", ""value"": 2}, {""factor"": ""days_since_last_transaction"", ""value"": 16}, {""factor"": ""salary_missing_days"", ""value"": 2.0}, {""factor"": ""external_transfer_change_30d"", ""value"": 14.2811}, {""factor"": ""upi_share_of_spend"", ""value"": 0.2819}]"
C10041,Kashvi Edwin,2026-03-01,42,30,vendor,irregular,17397.3831,1.5124,3,0,1,15,-19.8743,-33.3096,-32.9332,-19.9588,,66.3389,0.8065,1,0,3,3,2,87.5521,0,Amount debited from account but merchant says payment not received.,BR-127,blue,1,81.4,93.02,Yes,High,"[{""factor"": ""avg_resolution_time_hrs"", ""value"": 87.5521}, {""factor"": ""fd_maturing_in_30d"", ""value"": 1}, {""factor"": ""card_spend_change_30d"", ""value"": -32.9332}, {""factor"": ""complaints_30d"", ""value"": 3}, {""factor"": ""tenure_months"", ""value"": 30}]"
C10042,Ekiya Suresh,2026-05-01,36,19,farmer,seasonal,15429.8788,0.9904,2,0,0,16,-46.3174,-39.1905,-24.5399,-26.7068,,66.6913,0.5844,0,0,0,0,2,0.0,0,,BR-103,green,1,18.06,62.22,Yes,Medium,"[{""factor"": ""balance_change_30d"", ""value"": -46.3174}, {""factor"": ""tenure_months"", ""value"": 19}, {""factor"": ""days_since_last_transaction"", ""value"": 16}, {""factor"": ""external_transfer_change_30d"", ""value"": 66.6913}, {""factor"": ""card_spend_change_30d"", ""value"": -24.5399}]"
C10043,Isaac Patil,2026-03-01,34,21,salary,regular,43074.9695,0.0452,1,0,0,9,-12.2453,-4.1756,-34.2139,1.1298,1.0,-7.4265,0.4284,0,1,0,0,2,0.0,0,,BR-122,silver,1,7.29,21.86,No,Low,"[{""factor"": ""card_spend_change_30d"", ""value"": -34.2139}, {""factor"": ""tenure_months"", ""value"": 21}, {""factor"": ""branch_code"", ""value"": ""BR-122""}, {""factor"": ""failed_transactions_30d"", ""value"": 2}, {""factor"": ""products_dropped_90d"", ""value"": 1}]"
C10044,Wriddhish Bhardwaj,2026-06-01,41,158,farmer,seasonal,23550.8424,0.489,1,0,0,8,7.6539,-22.9825,-2.7222,-13.4768,,-11.8042,0.5919,0,0,0,0,0,0.0,0,,BR-119,blue,0,1.65,4.96,No,Low,"[{""factor"": ""products_count"", ""value"": 1}, {""factor"": ""card_colour"", ""value"": ""blue""}, {""factor"": ""has_loan"", ""value"": 0}]"
C10045,Farhan Chada,2026-05-01,35,1,vendor,irregular,43285.9301,-0.5986,2,1,0,25,-36.4352,-38.8857,-65.4054,-37.1875,,41.7611,0.3717,0,1,0,0,5,0.0,0,,BR-131,green,1,70.37,88.89,Yes,High,"[{""factor"": ""days_since_last_transaction"", ""value"": 25}, {""factor"": ""balance_change_30d"", ""value"": -36.4352}, {""factor"": ""card_spend_change_30d"", ""value"": -65.4054}, {""factor"": ""tenure_months"", ""value"": 1}, {""factor"": ""failed_transactions_30d"", ""value"": 5}]"
C10046,Ekapad Walia,2026-06-01,38,93,salary,regular,43592.2977,0.0723,3,1,0,11,-18.1628,12.2842,6.9264,-1.9989,1.0,9.1794,0.3035,0,0,1,0,2,17.7717,0,Failed payment reversed after 9 days without any intimation to me.,BR-131,gold,0,2.25,6.74,No,Low,"[{""factor"": ""failed_transactions_30d"", ""value"": 2}, {""factor"": ""branch_code"", ""value"": ""BR-131""}, {""factor"": ""external_transfer_change_30d"", ""value"": 9.1794}, {""factor"": ""customer_segment"", ""value"": ""salary""}, {""factor"": ""has_loan"", ""value"": 0}]"
C10047,Kabir Soman,2026-06-01,27,108,salary,regular,32714.5018,1.7459,1,0,0,2,5.3222,-2.267,-2.0909,11.4942,0.0,33.4778,0.415,0,0,0,0,2,0.0,0,,BR-135,gold,0,1.16,3.49,No,Low,"[{""factor"": ""failed_transactions_30d"", ""value"": 2}, {""factor"": ""age"", ""value"": 27}, {""factor"": ""products_count"", ""value"": 1}, {""factor"": ""app_login_change_30d"", ""value"": 11.4942}, {""factor"": ""customer_segment"", ""value"": ""salary""}]"
C10048,Alka Wable,2026-06-01,44,102,salary,regular,20584.2588,2.5874,4,1,0,11,12.5518,-19.4168,37.9842,-3.1727,0.0,24.1843,0.5039,0,0,3,0,1,6.9658,0,Transaction history not showing the failed entry at all. Very strange.,BR-122,green,0,2.39,7.18,No,Low,"[{""factor"": ""complaints_30d"", ""value"": 3}, {""factor"": ""branch_code"", ""value"": ""BR-122""}, {""factor"": ""external_transfer_change_30d"", ""value"": 24.1843}, {""factor"": ""customer_segment"", ""value"": ""salary""}, {""factor"": ""income_regularity"", ""value"": ""regular""}]"
